Eurecam Entrée interne>>einter,Eurecam
fichier de comptage v2
1,entrée,passage
2,entrée-adulte,passage
3,entrée-enfant,passage
Date,Heure,E1,S1,E2,S2,E3,S3
22/02/2019,18:32:00,0,1,0,1,0,0
22/02/2019,18:36:00,1,0,1,0,0,0
22/02/2019,18:38:00,0,1,0,1,0,0
22/02/2019,18:39:00,1,1,1,1,0,0
22/02/2019,18:40:00,1,0,1,0,0,0
22/02/2019,18:41:00,1,0,1,0,0,0
22/02/2019,18:46:00,1,1,1,1,0,0
22/02/2019,18:47:00,1,1,1,1,0,0
22/02/2019,18:48:00,0,1,0,1,0,0
22/02/2019,18:49:00,1,0,1,0,0,0
22/02/2019,18:50:00,1,0,1,0,0,0
22/02/2019,18:57:00,0,1,0,1,0,0
22/02/2019,18:58:00,1,2,1,2,0,0
22/02/2019,18:59:00,1,0,1,0,0,0
22/02/2019,19:03:00,0,2,0,2,0,0
22/02/2019,19:05:00,1,0,1,0,0,0
22/02/2019,19:07:00,1,1,1,1,0,0
22/02/2019,19:13:00,0,1,0,1,0,0
