date,hour,sx,sy,ex,ey,h,time,e,x
2019-04-02,11:54:03,149,203,424,405,157,2,0,0
2019-04-02,11:55:03,406,372,111,187,161,2,0,0
2019-04-02,11:55:10,203,226,373,406,157,2,0,0
2019-04-02,11:55:25,424,375,555,330,132,1,0,0
2019-04-02,11:55:50,509,315,545,324,168,7,0,0
2019-04-02,12:06:44,350,129,112,239,169,2,1,0
2019-04-02,12:07:21,542,350,405,392,137,1,0,0
2019-04-02,12:07:44,166,224,297,214,136,1,0,0
2019-04-02,12:07:46,274,174,396,121,178,3,0,1
2019-04-02,12:07:51,350,125,363,71,176,5,0,0
2019-04-02,12:08:53,360,118,118,213,174,3,1,0
2019-04-02,12:09:01,369,369,143,207,160,3,0,0
2019-04-02,12:10:06,167,223,141,208,168,11,0,0
2019-04-02,12:10:41,162,212,415,401,166,3,0,0
2019-04-02,12:10:55,414,384,542,351,141,2,0,0
2019-04-02,12:14:47,555,356,383,395,137,1,0,0
2019-04-02,12:14:59,384,362,127,187,161,3,0,0
2019-04-02,12:15:48,209,214,409,410,163,2,0,0
2019-04-02,12:16:08,406,379,563,325,132,1,0,0
2019-04-02,12:16:52,549,348,389,397,140,1,0,0
2019-04-02,12:17:23,373,335,140,194,164,3,0,0
2019-04-02,12:17:40,174,207,396,400,153,2,0,0
2019-04-02,12:18:02,374,354,144,194,160,2,0,0
2019-04-02,12:18:20,201,247,405,410,154,2,0,0
2019-04-02,12:18:36,406,367,136,190,159,3,0,0
2019-04-02,12:18:49,162,225,387,399,156,2,0,0
2019-04-02,12:19:04,425,380,571,334,130,1,0,0
2019-04-02,12:22:10,514,335,132,248,166,3,0,0
2019-04-02,12:22:43,193,264,223,351,120,1,0,0
2019-04-02,12:22:44,195,237,319,370,143,2,0,0
2019-04-02,12:22:46,285,358,292,362,122,2,0,0
2019-04-02,12:22:49,319,351,318,356,125,1,0,0
2019-04-02,12:22:56,319,348,146,228,152,4,0,0
2019-04-02,12:23:22,161,225,319,363,164,7,0,0
2019-04-02,12:23:25,355,362,556,315,142,2,0,0
2019-04-02,12:27:20,336,93,441,377,172,3,1,0
2019-04-02,12:28:35,431,373,352,80,172,3,0,1
2019-04-02,12:29:50,151,242,409,93,162,3,0,1
2019-04-02,12:33:20,150,185,454,114,175,3,0,1
2019-04-02,12:33:22,387,126,399,99,142,2,0,0
2019-04-02,12:38:25,145,236,243,271,146,4,0,0
2019-04-02,12:38:34,411,265,413,278,140,1,0,0
2019-04-02,12:38:38,243,312,286,291,198,12,0,0
2019-04-02,12:38:42,352,287,304,348,176,5,0,0
2019-04-02,12:38:45,291,334,273,352,129,1,0,0
2019-04-02,12:38:49,269,346,353,352,135,3,0,0
2019-04-02,12:38:50,323,343,323,343,133,1,0,0
2019-04-02,12:38:55,540,342,378,391,131,2,0,0
2019-04-02,12:38:57,285,336,297,334,150,2,0,0
2019-04-02,12:38:59,304,343,282,323,146,2,0,0
2019-04-02,12:39:02,298,325,286,323,146,3,0,0
